ind, name, igg(AUC), iggstd(AUC)
0,SARS-2_1s,0.763374,0.590704
1,SARS-2_4a,1.104053,0.145721
2,SARS-2_4b,0.604596,0.438335
3,SARS-2_8ab,1.194644,0.422200
4,RaTG13_1s,0.622569,0.469640
5,RaTG13_4a,1.272038,0.193173
6,RaTG13_4b,0.697783,0.512609
7,RaTG13_8ab,1.220681,0.440787
8,SARS_1s,0.150454,0.163470
9,SARS_4a,0.320242,0.065826
10,SARS_4b,0.530781,0.392905
11,SARS_8ab,0.650841,0.258275
12,WIV1_1s,0.386339,0.360823
13,WIV1_4a,0.736896,0.114379
14,WIV1_4b,0.811698,0.522383
15,WIV1_8ab,1.029251,0.326203
16,Rs4081_1s,0.163675,0.156402
17,Rs4081_4a,0.736579,0.121423
18,Rs4081_4b,0.475007,0.334934
19,Rs4081_8ab,0.733596,0.263134
20,SHC014_1s,0.252298,0.271255
21,SHC014_4a,1.245263,0.116289
22,SHC014_4b,0.514537,0.400746
23,SHC014_8ab,1.105523,0.378970
24,Yun11_1s,0.200304,0.204936
25,Yun11_4a,0.865973,0.179426
26,Yun11_4b,0.555793,0.377886
27,Yun11_8ab,0.821703,0.295490
28,Bm4831_1s,0.130114,0.138112
29,Bm4831_4a,0.394727,0.105228
30,Bm4831_4b,0.354313,0.292543
31,Bm4831_8ab,0.540082,0.204067
32,BtKY72_1s,0.273070,0.238118
33,BtKY72_4a,0.615412,0.126345
34,BtKY72_4b,0.471878,0.387135
35,BtKY72_8ab,0.832462,0.299354
