ind, ag_vacc, igg, igg_err
1, c09_m1,      9.37500,      1.07143
2, c09_m2,      8.03571,      2.67857
3, c09_m4,      3.75000,      3.48214
4, c09_m8,      6.16071,      3.21429
5, v04_m1,      4.55357,      1.20536
6, v04_m2,      6.42857,      2.94643
7, v04_m4,      6.56250,      3.34821
8, v04_m8,      7.50000,      2.14286
9, j57_m1,      4.83618,      1.47229
10, j57_m2,      3.40717,      1.74016
11, j57_m4,      3.58541,      3.48135
12, j57_m8,      6.84422,      2.27694
13, hk99_m1,      1.95837,      1.05256
14, hk99_m2,      2.83685,      2.36826
15, hk99_m4,      3.18703,      4.07968
16, hk99_m8,      7.35477,      1.70839
17, ai68_m1,      0.81914,      0.53468
18, ai68_m2,      8.49668,      2.00997
19, ai68_m4,      5.06022,      3.75000
20, ai68_m8,      6.71200,      2.67857
21, sh13_m1,      2.15754,      0.93756
22, sh13_m2,      2.87188,      2.54482
23, sh13_m4,      3.45227,      3.61736
24, sh13_m8,      3.76583,      2.67772
25, jx13_m1,      0.63490,      0.52892
26, jx13_m2,      2.00453,      1.86047
27, jx13_m4,      2.31426,      3.45133
28, jx13_m8,      4.48240,      2.12184
29, hb09_m1,      0.80357,      0.66964
30, hb09_m2,      2.27679,      1.20536
31, hb09_m4,      2.54464,      3.48214
32, hb09_m8,      5.75893,      1.60714
33, p10_m1,      2.00000,      0.78571
34, p10_m2,      1.71429,      1.07143
35, p10_m4,      1.85714,      2.35714
36, p10_m8,      2.35714,      1.85714
37, wa79_m1,      1.20536,      0.66964
38, wa79_m2,      0.93750,      0.80357
39, wa79_m4,      2.14286,      2.54464
40, wa79_m8,      2.41071,      2.14286
