ind, ag_vacc, igg, igg_err
1, c09_m1,      9.37500,      1.07143
2, c09_m2,      6.29464,      2.14286
3, c09_m4,      2.94643,      0.80357
4, c09_m8,      6.83036,      2.54464
5, v04_m1,      4.55357,      1.20536
6, v04_m2,      2.81250,      1.07143
7, v04_m4,      3.75000,      0.53571
8, v04_m8,      6.83036,      2.94643
9, j57_m1,      4.83618,      1.47229
10, j57_m2,      3.25057,      1.20544
11, j57_m4,      1.82258,      0.13085
12, j57_m8,      7.49124,      2.81372
13, hk99_m1,      1.95837,      1.05256
14, hk99_m2,      1.27927,      0.92099
15, hk99_m4,      0.44633,      0.26314
16, hk99_m8,      7.11288,      2.76398
17, ai68_m1,      0.81914,      0.53468
18, ai68_m2,      7.80523,      2.14286
19, ai68_m4,      4.23380,      1.07143
20, ai68_m8,      6.55523,      2.54360
21, sh13_m1,      2.15754,      0.93756
22, sh13_m2,      1.24178,      1.20544
23, sh13_m4,      2.89368,      0.80467
24, sh13_m8,      5.75206,      2.94663
25, jx13_m1,      0.63490,      0.52892
26, jx13_m2,      1.12060,      1.19469
27, jx13_m4,      0.63388,      0.66372
28, jx13_m8,      5.45688,      2.78761
29, hb09_m1,      0.80357,      0.66964
30, hb09_m2,      1.20536,      1.07143
31, hb09_m4,      0.40179,      0.40179
32, hb09_m8,      6.16071,      1.60714
33, p10_m1,      2.00000,      0.78571
34, p10_m2,      1.14286,      0.57143
35, p10_m4,      0.50000,      0.21429
36, p10_m8,      2.28571,      2.00000
37, wa79_m1,      1.20536,      0.66964
38, wa79_m2,      0.80357,      0.93750
39, wa79_m4,      1.07143,      0.53571
40, wa79_m8,      3.08036,      2.14286
